strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2021-01-01 11:00,2021-01-01 13:00,28873.7876,29464.79,5385580.17991,3020238428.69,162652113.75,1.942,2,grid TP hit (29306.89)
grid,long,2021-01-01 14:00,2021-01-01 23:00,28887.9224,29331.69,5931156.266484,2438512425.5,193542556.11,1.423,9,grid TP hit (29321.24)
grid,long,2021-01-02 00:00,2021-01-02 01:00,28759.5178,29359.47,6561284.470829,3741413270.58,195043782.52,1.983,1,grid TP hit (29190.91)
grid,long,2021-01-02 02:00,2021-01-02 03:00,28883.9627,29351.95,7198617.060669,3154926745.82,213934616.13,1.517,1,grid TP hit (29317.22)
grid,long,2021-01-02 04:00,2021-01-02 05:00,28909.3855,29589.99,7921709.202673,5154217197.65,237333337.29,2.251,1,grid TP hit (29343.03)
grid,long,2021-01-02 06:00,2021-01-02 07:00,29263.4339,29750.0,8625284.410812,3936960827.03,259809738.86,1.56,1,grid TP hit (29702.39)
grid,long,2021-01-02 08:00,2021-01-02 12:00,29396.8423,30604.03,9457289.220044,11112820027.76,303902721.16,3.997,4,grid TP hit (29837.79)
grid,long,2021-01-02 13:00,2021-01-02 15:00,31068.0524,31691.29,9878294.281196,5835641640.0,320882285.99,1.901,2,grid TP hit (31534.07)
grid,long,2021-01-03 04:00,2021-01-03 20:00,32694.642,33726.21,10342433.938858,10250350057.6,418573318.72,3.031,16,grid TP hit (33185.06)
grid,long,2021-01-03 21:00,2021-01-04 08:00,33054.9649,32045.14,11282650.428729,-11804769143.96,411267803.04,-3.165,11,grid SL hit (32063.32)
grid,long,2021-01-04 09:00,2021-01-05 14:00,30573.0505,32342.33,13376770.054338,23077777935.19,589466429.33,5.643,29,grid TP hit (31031.65)
grid,long,2021-01-05 15:00,2021-01-05 16:00,31618.4803,32469.9,14293158.511335,11699578086.38,469898645.39,2.589,1,grid TP hit (32092.76)
grid,long,2021-01-05 17:00,2021-01-05 18:00,32251.589,33372.84,15448712.004177,16799871024.61,522011986.35,3.372,1,grid TP hit (32735.36)
grid,long,2021-01-05 19:00,2021-01-05 20:00,33192.2838,33969.17,16561084.759735,12296480652.54,569598382.38,2.237,1,grid TP hit (33690.17)
grid,long,2021-01-05 21:00,2021-01-05 22:00,33194.1355,34183.42,18251565.073549,17424289839.43,631699676.0,2.876,1,grid TP hit (33692.05)
dca,long,2021-01-04 07:00,2021-01-05 22:00,32068.84,34183.42,17442647.713756,35996953090.4,886920912.16,6.435,39,DCA target hit (33992.97)
ema,short,2021-01-04 16:00,2021-01-05 23:00,31320.31,33949.53,65281564.933471,-174714682499.81,3075086345.43,-8.545,31,SL hit (32817.99)
grid,long,2021-01-06 13:00,2021-01-06 15:00,34031.75,34566.19,26876076.665985,13411421751.57,952228661.8,1.466,2,grid TP hit (34542.23)
grid,long,2021-01-06 16:00,2021-01-06 17:00,34093.2239,34898.52,29547032.480718,22750074450.38,1044037050.27,2.258,1,grid TP hit (34604.62)
grid,long,2021-01-06 18:00,2021-01-06 20:00,34687.5137,36015.88,32007575.746214,41336182833.24,1181600532.35,3.723,2,grid TP hit (35207.83)
