strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-11-06 08:00,2025-11-06 11:00,3963.9355,4027.2,1.614206,75.75,26.37,1.184,3,grid TP hit (4023.39)
grid,long,2025-11-06 12:00,2025-11-06 13:00,3954.2825,4021.1,1.619413,81.83,26.37,1.278,1,grid TP hit (4013.60)
grid,long,2025-11-06 14:00,2025-11-07 01:00,3941.8715,4009.2,1.625936,83.09,26.38,1.296,10,grid TP hit (4001.00)
grid,long,2025-11-07 02:00,2025-11-07 04:00,3942.561,4005.5,1.627107,76.03,26.38,1.185,2,grid TP hit (4001.70)
grid,long,2025-11-07 05:00,2025-11-07 06:00,3942.364,4014.5,1.628466,91.09,26.39,1.419,1,grid TP hit (4001.50)
grid,long,2025-11-07 07:00,2025-11-07 08:00,3954.972,4018.0,1.624928,76.03,26.38,1.183,1,grid TP hit (4014.30)
grid,long,2025-11-07 09:00,2025-11-07 10:00,3954.2825,4015.7,1.626484,73.51,26.38,1.143,1,grid TP hit (4013.60)
grid,long,2025-11-07 11:00,2025-11-07 16:00,3950.835,4015.8,1.629114,79.45,26.39,1.234,5,grid TP hit (4010.10)
grid,long,2025-11-07 17:00,2025-11-07 18:00,3952.411,4012.5,1.629824,71.55,26.39,1.111,1,grid TP hit (4011.70)
grid,long,2025-11-07 19:00,2025-11-09 23:00,3953.987,4019.5,1.630334,80.42,26.39,1.247,3,grid TP hit (4013.30)
grid,long,2025-11-10 00:00,2025-11-10 01:00,3967.8755,4052.9,1.626006,111.84,26.41,1.734,1,grid TP hit (4027.39)
grid,long,2025-11-10 02:00,2025-11-10 03:00,3995.948,4058.7,1.616739,75.06,26.4,1.162,1,grid TP hit (4055.89)
grid,long,2025-11-12 03:00,2025-11-12 06:00,4055.9345,4123.9,1.594044,81.94,26.4,1.267,3,grid TP hit (4116.77)
grid,long,2025-11-12 07:00,2025-11-12 08:00,4060.4655,4136.8,1.59365,95.24,26.41,1.472,1,grid TP hit (4121.37)
grid,long,2025-11-12 09:00,2025-11-12 10:00,4068.641,4133.3,1.592157,76.54,26.4,1.182,1,grid TP hit (4129.67)
grid,long,2025-11-12 11:00,2025-11-12 12:00,4069.7245,4136.4,1.592982,79.81,26.41,1.231,1,grid TP hit (4130.77)
grid,long,2025-11-12 13:00,2025-11-12 14:00,4070.9065,4142.7,1.593849,88.02,26.41,1.356,1,grid TP hit (4131.97)
grid,long,2025-11-12 15:00,2025-11-12 16:00,4125.0815,4203.0,1.574427,96.26,26.42,1.482,1,grid TP hit (4186.96)
ema,short,2025-11-14 12:00,2025-11-17 19:00,4118.3,4011.3,7.101172,724.09,35.73,2.476,30,TP hit (4054.96)
grid,long,2025-11-14 04:00,2025-11-28 14:30,4143.107,4233.5,1.569279,115.42,26.43,1.775,208,grid TP hit (4205.25)
ema,short,2025-12-02 18:00,2025-12-02 23:00,4222.3,4244.0,7.009459,-188.38,36.27,-0.636,4,golden cross — trend reversal
ema,short,2025-12-04 02:00,2025-12-05 07:00,4229.8,4254.3,6.970833,-207.02,36.23,-0.702,28,golden cross — trend reversal
ema,short,2025-12-08 02:00,2025-12-08 05:00,4236.9,4246.3,6.930801,-101.29,36.14,-0.345,3,golden cross — trend reversal
ema,short,2025-12-08 07:00,2025-12-09 19:00,4235.7,4241.4,6.916893,-75.52,36.1,-0.258,35,golden cross — trend reversal
grid,long,2025-11-28 15:30,2025-12-09 23:00,4175.7105,4238.7,1.575722,72.81,26.45,1.107,165,grid TP hit (4238.35)
grid,long,2025-12-10 00:00,2025-12-10 01:00,4173.3465,4243.1,1.560849,82.45,26.42,1.266,1,grid TP hit (4235.95)
grid,long,2025-12-10 02:00,2025-12-10 19:00,4182.4085,4245.7,1.558824,72.24,26.42,1.108,17,grid TP hit (4245.14)
grid,long,2025-12-10 20:00,2025-12-10 21:00,4195.2135,4258.3,1.555175,71.69,26.42,1.099,1,grid TP hit (4258.14)
grid,long,2025-12-10 23:00,2025-12-11 00:00,4197.676,4266.5,1.555357,80.62,26.43,1.235,1,grid TP hit (4260.64)
grid,long,2025-12-11 01:00,2025-12-11 15:00,4203.6845,4285.3,1.55444,100.43,26.44,1.537,14,grid TP hit (4266.74)
