strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
Golden Cross,JSW Steel,-1.27,-24.04,75958.0,25.13,-0.31,-0.05,12.5,8,3.57,-4.52,0.11,18.0,-3.51,21.5,-1.18,0.1,1614.0,1341.0,123.0,102.0,40.0,7.0,0.237,6,16.7,-4.03,0,0.0,0.0,2,0.0,-1.93
Triple MA Momentum,HCL Tech,-1.46,-27.05,72946.0,30.43,-0.32,-0.05,23.1,13,1.8,-3.78,0.12,14.0,-2.49,21.5,-1.31,0.15,2421.0,1998.0,199.0,152.0,59.0,11.0,0.24,12,25.0,-2.6,0,0.0,0.0,1,0.0,-1.23
Bollinger Band Bounce,Tech Mahindra,-2.42,-36.81,63186.0,45.42,-0.32,-0.05,33.3,39,4.88,-4.16,0.6,9.0,-1.15,18.8,-1.8,0.62,7901.0,6571.0,598.0,495.0,195.0,35.0,0.24,37,35.1,-0.98,0,0.0,0.0,2,0.0,-4.31
RSI Oversold Bounce,HUL,-2.93,-47.21,52789.0,50.45,-0.33,-0.06,36.4,44,5.13,-5.15,0.56,23.0,-1.41,21.5,-2.32,0.62,7698.0,6318.0,675.0,477.0,188.0,34.0,0.243,36,33.3,-1.84,3,100.0,6.87,5,20.0,-3.28
Bollinger Band Bounce,HUL,-2.19,-37.75,62253.0,48.81,-0.33,-0.04,41.7,48,3.34,-4.05,0.6,11.0,-0.97,21.5,-1.53,0.66,9594.0,7971.0,736.0,600.0,237.0,43.0,0.24,46,43.5,-0.83,0,0.0,0.0,2,0.0,-4.31
Golden Cross,UltraCemco,-1.57,-28.72,71281.0,40.26,-0.33,-0.04,20.0,10,5.53,-5.64,0.27,22.0,-3.41,21.4,-1.43,0.14,2154.0,1799.0,153.0,137.0,53.0,10.0,0.236,10,20.0,-3.41,0,0.0,0.0,0,0.0,0.0
Bollinger Band Bounce,Tata Consumer,-2.83,-46.0,53999.0,47.9,-0.33,-0.06,33.3,51,5.14,-4.31,0.56,8.0,-1.16,21.4,-2.16,0.67,8603.0,7036.0,782.0,531.0,209.0,38.0,0.244,49,34.7,-1.03,0,0.0,0.0,2,0.0,-4.32
ADX Breakout,Shree Cement,-2.11,-36.68,63322.0,42.11,-0.35,-0.05,26.8,41,3.46,-2.88,0.39,9.0,-1.18,21.4,-1.66,0.45,6507.0,5289.0,629.0,399.0,157.0,28.0,0.246,36,30.6,-1.11,0,0.0,0.0,5,0.0,-1.66
MACD Trend,ONGC,-4.24,-60.55,39453.0,66.44,-0.37,-0.06,32.2,90,4.35,-3.52,0.53,12.0,-0.98,21.4,-3.0,1.25,12631.0,10123.0,1381.0,763.0,301.0,54.0,0.251,61,34.4,-0.8,22,31.8,-1.5,7,14.3,-0.95
Triple MA Momentum,Cipla,-2.02,-35.48,64522.0,35.49,-0.37,-0.06,26.3,19,1.15,-3.64,0.1,13.0,-2.38,21.5,-1.79,0.24,3430.0,2822.0,291.0,214.0,84.0,15.0,0.241,15,33.3,-2.25,0,0.0,0.0,4,0.0,-2.87
BB Squeeze Breakout,SBI Life,-4.87,-31.82,68179.0,37.88,-0.37,-0.13,29.7,37,3.87,-3.09,0.48,19.0,-1.02,7.7,-3.72,1.15,6598.0,5426.0,568.0,409.0,161.0,29.0,0.243,27,29.6,-0.99,7,0.0,-3.83,3,100.0,5.29
RSI Oversold Bounce,Maruti,-2.36,-40.09,59913.0,49.94,-0.38,-0.05,34.4,32,5.03,-5.1,0.48,16.0,-1.62,21.5,-1.97,0.39,5344.0,4366.0,491.0,330.0,130.0,23.0,0.244,29,37.9,-1.23,1,0.0,-5.32,2,0.0,-5.31
ADX Breakout,BPCL,-2.66,-43.88,56123.0,49.34,-0.38,-0.05,26.8,41,4.46,-3.53,0.43,9.0,-1.39,21.4,-2.13,0.52,6849.0,5596.0,629.0,422.0,166.0,30.0,0.244,40,27.5,-1.3,0,0.0,0.0,1,0.0,-4.86
