date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2023-12-20,NSE:FMCGIETF,133,52.64,56.3756,7497.95,23.11,473.72,0.071,7611.63
2023-12-21,NSE:BFSI,364,20.11,21.6483,7879.98,23.5,536.44,0.0765,7622.36
2023-12-22,NSE:ICICIB22,90,81.78,88.5014,7965.13,23.59,581.34,0.0822,7633.99
2023-12-26,NSE:MIDSELIETF,582,12.732,13.7972,8029.97,23.66,596.29,0.0837,7645.91
2023-12-27,NSE:NIFTYBEES,33,219.6,238.6711,7876.15,23.5,605.85,0.0868,7658.03
2023-12-28,NSE:MIDCAP,61,120.66,132.2876,8069.54,23.7,685.58,0.0964,7671.74
2023-12-29,NSE:HDFCSML250,57,129.13,140.4294,8004.48,23.63,620.44,0.0875,7684.15
2024-01-01,NSE:PHARMABEES,455,15.83,17.1229,7790.92,23.41,564.86,0.0817,7695.45
2024-01-02,NSE:CPSEETF,121,62.04,67.1827,8129.11,23.76,598.51,0.0829,7707.42
2024-01-03,NSE:HEALTHY,728,10.15,11.0789,8065.44,23.7,652.54,0.0915,7720.47
2024-01-04,NSE:HDFCSENSEX,97,73.43,79.0429,7667.16,23.28,521.17,0.0764,7730.89
2024-01-05,NSE:MOM100,157,47.28,50.4595,7922.14,23.55,475.63,0.0672,7740.41
2024-01-09,NSE:MASPTOP50,219,32.81,34.985,7661.72,23.28,453.04,0.0663,7749.47
2024-01-11,NSE:MON100,57,127.62,136.0938,7757.35,23.38,459.63,0.0664,7758.66
2024-01-12,NSE:ALPHA,190,39.38,42.1278,8004.28,23.63,498.45,0.0698,7768.63
2024-01-15,NSE:NV20IETF,615,12.179,13.1578,8092.05,23.72,578.24,0.0804,7780.19
2024-01-16,NSE:MOVALUE,98,76.5,83.4864,8181.67,23.82,660.85,0.0913,7793.41
2024-01-19,NSE:ALPL30IETF,327,22.855,24.5624,8031.9,23.66,534.66,0.0747,7804.1
2024-01-23,NSE:MAFANG,105,67.47,73.8261,7751.74,23.37,644.02,0.0942,7816.98
2024-01-25,NSE:CPSEETF,114,67.06,71.3386,8132.6,23.77,463.99,0.0638,7826.26
2024-01-29,NSE:ICICIB22,85,89.71,96.4135,8195.15,23.83,545.97,0.0747,7837.18
2024-01-30,NSE:PSUBNKBEES,118,63.78,68.0119,8025.4,23.65,475.71,0.0664,7846.7
2024-01-31,NSE:ALPHA,184,42.17,45.2547,8326.86,23.97,543.62,0.0731,7857.57
2024-02-01,NSE:HDFCSML250,54,141.97,151.6682,8190.08,23.83,499.87,0.0683,7867.57
2024-02-02,NSE:MOVALUE,95,81.56,90.2197,8570.87,24.22,798.45,0.1062,7883.54
2024-02-05,NSE:MAKEINDIA,70,106.91,115.1447,8060.13,23.69,552.74,0.077,7894.59
2024-02-06,NSE:MONIFTY500,401,18.55,19.9301,7991.97,23.62,529.8,0.0744,7905.19
2024-02-07,NSE:PSUBNKBEES,112,69.6,74.915,8390.48,24.03,571.25,0.0764,7916.61
2024-02-08,NSE:CPSEETF,105,74.32,80.1198,8412.58,24.06,584.92,0.078,7928.31
2024-02-09,NSE:HEALTHY,692,11.15,12.1279,8392.51,24.04,652.67,0.0877,7941.36
2024-02-12,NSE:MAFANG,104,75.04,81.2187,8446.74,24.09,618.49,0.0823,7953.73
2024-02-13,NSE:PHARMABEES,438,17.55,19.0609,8348.67,23.99,637.78,0.0861,7966.49
2024-02-14,NSE:LOWVOLIETF,423,17.948,19.3676,8192.49,23.83,576.66,0.0791,7978.02
2024-02-15,NSE:MASPTOP50,220,35.14,37.9121,8340.66,23.98,585.88,0.0789,7989.74
2024-02-16,NSE:MIDSELIETF,553,13.804,15.03,8311.59,23.95,654.03,0.0888,8002.82
